,sleep_hours,deep_sleep_ratio,sleep_efficiency,steps,activeKilocalories,distanceInMeters,activeTimeInSeconds,averageStressLevel,maxStressLevel
sleep_hours,1.0,-0.19254493636407008,-0.07416131667680897,-0.09618500173691429,-0.10159391243958193,-0.09663908595371361,-0.10916298946829954,-0.04634425007945677,-0.02920122147715854
deep_sleep_ratio,-0.19254493636407008,1.0,0.05821468530446726,0.09854840660310313,0.010885501750581629,0.09558114862710713,0.09214993245341031,-0.032315835697512466,0.012694494423082951
sleep_efficiency,-0.07416131667680897,0.05821468530446726,1.0,0.015165060539169254,-0.01576492501707065,0.012518586940541537,0.01466959814539684,-0.02770618075508547,-0.03670079369481998
steps,-0.09618500173691429,0.09854840660310313,0.015165060539169254,1.0,0.7620040313189173,0.9909176875109118,0.9691713654512497,0.21885982145958588,0.24793717464648282
activeKilocalories,-0.10159391243958193,0.010885501750581629,-0.01576492501707065,0.7620040313189173,1.0,0.7609447765608237,0.8033778888532456,0.24703645688039594,0.23227911271930507
distanceInMeters,-0.09663908595371361,0.09558114862710713,0.012518586940541537,0.9909176875109118,0.7609447765608237,1.0,0.9586445033149207,0.21582601578239244,0.23646607326175487
activeTimeInSeconds,-0.10916298946829954,0.09214993245341031,0.01466959814539684,0.9691713654512497,0.8033778888532456,0.9586445033149207,1.0,0.21205517003662477,0.24906125349753697
averageStressLevel,-0.04634425007945677,-0.032315835697512466,-0.02770618075508547,0.21885982145958588,0.24703645688039594,0.21582601578239244,0.21205517003662477,1.0,0.558467345482819
maxStressLevel,-0.02920122147715854,0.012694494423082951,-0.03670079369481998,0.24793717464648282,0.23227911271930507,0.23646607326175487,0.24906125349753697,0.558467345482819,1.0
